month;country;tourist_arrivals
01/01/2019;Belgium;497853
01/01/2019;Bulgaria;153726
01/01/2019;Czechia;606267
01/01/2019;Denmark;132137
01/01/2019;Germany;2164003
01/01/2019;Estonia;113648
01/01/2019;Greece;152848
01/01/2019;Spain;2981592
01/01/2019;France;2190724
01/01/2019;Croatia;119843
01/01/2019;Italy;2262108
01/01/2019;Cyprus;55964
01/01/2019;Latvia;100255
01/01/2019;Lithuania;99478
01/01/2019;Luxembourg;60716
01/01/2019;Hungary;338405
01/01/2019;Malta;81369
01/01/2019;Netherlands;1082119
01/01/2019;Austria;2243328
01/01/2019;Poland;390285
01/01/2019;Portugal;639468
01/01/2019;Romania;139818
01/01/2019;Slovenia;175531
01/01/2019;Slovakia;134654
01/01/2019;Finland;264173
01/01/2019;Sweden;309062
01/01/2019;United Kingdom;1593994
01/01/2019;Iceland;186612
01/01/2019;Liechtenstein;5546
01/01/2019;Norway;178527
01/01/2019;Montenegro;20536
01/01/2019;North Macedonia;29423
01/01/2019;Serbia;82923
01/01/2019;Kosovo;9370
01/01/2019;Turkey;1999642
01/01/2019;Japan;2689339
01/02/2019;Belgium;568718
01/02/2019;Bulgaria;127524
01/02/2019;Czechia;640252
01/02/2019;Denmark;131928
01/02/2019;Germany;2396655
01/02/2019;Estonia;110614
01/02/2019;Greece;173189
01/02/2019;Spain;3210732
01/02/2019;France;2247281
01/02/2019;Croatia;170441
01/02/2019;Italy;2715813
01/02/2019;Cyprus;71569
01/02/2019;Latvia;87568
01/02/2019;Lithuania;81714
01/02/2019;Luxembourg;59102
01/02/2019;Hungary;377607
01/02/2019;Malta;101174
01/02/2019;Netherlands;1133465
01/02/2019;Austria;2507231
01/02/2019;Poland;391469
01/02/2019;Portugal;738629
01/02/2019;Romania;134950
01/02/2019;Slovenia;167669
01/02/2019;Slovakia;151060
01/02/2019;Finland;254777
01/02/2019;Sweden;366996
01/02/2019;United Kingdom;1362023
01/02/2019;Iceland;255842
01/02/2019;Liechtenstein;5857
01/02/2019;Norway;215931
01/02/2019;Montenegro;33071
01/02/2019;North Macedonia;27125
01/02/2019;Serbia;80503
01/02/2019;Kosovo;7915
01/02/2019;Turkey;2113909
01/02/2019;Japan;2604322
01/03/2019;Belgium;665633
01/03/2019;Bulgaria;137895
01/03/2019;Czechia;765297
01/03/2019;Denmark;163055
01/03/2019;Germany;2639722
01/03/2019;Estonia;123964
01/03/2019;Greece;351414
01/03/2019;Spain;4153103
01/03/2019;France;2926952
01/03/2019;Croatia;318524
01/03/2019;Italy;3530542
01/03/2019;Cyprus;113662
01/03/2019;Latvia;113953
01/03/2019;Lithuania;106695
01/03/2019;Luxembourg;74421
01/03/2019;Hungary;454498
01/03/2019;Malta;132919
01/03/2019;Netherlands;1465139
01/03/2019;Austria;2473166
01/03/2019;Poland;515881
01/03/2019;Portugal;1033178
01/03/2019;Romania;169091
01/03/2019;Slovenia;216952
01/03/2019;Slovakia;152518
01/03/2019;Finland;243820
01/03/2019;Sweden;393876
01/03/2019;United Kingdom;1974874
01/03/2019;Iceland;286117
01/03/2019;Liechtenstein;6229
01/03/2019;Norway;240045
01/03/2019;Montenegro;49135
01/03/2019;North Macedonia;37588
01/03/2019;Serbia;111977
01/03/2019;Kosovo;10001
01/03/2019;Turkey;2746159
01/03/2019;Japan;2760136
01/04/2019;Belgium;885693
01/04/2019;Bulgaria;168878
01/04/2019;Czechia;903727
01/04/2019;Denmark;235054
01/04/2019;Germany;3198245
01/04/2019;Estonia;156209
01/04/2019;Greece;794270
01/04/2019;Spain;5534349
01/04/2019;France;4287682
01/04/2019;Croatia;933547
01/04/2019;Italy;5364922
01/04/2019;Cyprus;209173
01/04/2019;Latvia;145859
01/04/2019;Lithuania;132125
01/04/2019;Luxembourg;81357
01/04/2019;Hungary;482328
01/04/2019;Malta;175672
01/04/2019;Netherlands;2174940
01/04/2019;Austria;1706497
01/04/2019;Poland;572335
01/04/2019;Portugal;1445851
01/04/2019;Romania;204015
01/04/2019;Slovenia;351981
01/04/2019;Slovakia;168051
01/04/2019;Finland;170747
01/04/2019;Sweden;401085
01/04/2019;United Kingdom;2064331
01/04/2019;Iceland;207854
01/04/2019;Liechtenstein;5820
01/04/2019;Norway;240045
01/04/2019;Montenegro;86309
01/04/2019;North Macedonia;59914
01/04/2019;Serbia;131173
01/04/2019;Kosovo;12677
01/04/2019;Turkey;3809819
01/04/2019;Japan;2926685
01/05/2019;Belgium;864063
01/05/2019;Bulgaria;276018
01/05/2019;Czechia;1005902
01/05/2019;Denmark;274821
01/05/2019;Germany;3491996
01/05/2019;Estonia;211279
01/05/2019;Greece;2326399
01/05/2019;Spain;7033593
01/05/2019;France;4452282
01/05/2019;Croatia;1353788
01/05/2019;Italy;6504813
01/05/2019;Cyprus;308099
01/05/2019;Latvia;183206
01/05/2019;Lithuania;199393
01/05/2019;Luxembourg;102360
01/05/2019;Hungary;596482
01/05/2019;Malta;178404
01/05/2019;Netherlands;1721132
01/05/2019;Austria;1703771
01/05/2019;Poland;678617
01/05/2019;Portugal;1712278
01/05/2019;Romania;272636
01/05/2019;Slovenia;381200
01/05/2019;Slovakia;220039
01/05/2019;Finland;229789
01/05/2019;Sweden;583666
01/05/2019;United Kingdom;2586418
01/05/2019;Iceland;279839
01/05/2019;Liechtenstein;7040
01/05/2019;Norway;419682
01/05/2019;Montenegro;111580
01/05/2019;North Macedonia;68880
01/05/2019;Serbia;163939
01/05/2019;Kosovo;9876
01/05/2019;Turkey;4512020
01/05/2019;Japan;2773091
01/06/2019;Belgium;877681
01/06/2019;Bulgaria;620597
01/06/2019;Czechia;1037511
01/06/2019;Denmark;336267
01/06/2019;Germany;3675559
01/06/2019;Estonia;254855
01/06/2019;Greece;3344068
01/06/2019;Spain;7462270
01/06/2019;France;5935089
01/06/2019;Croatia;2672092
01/06/2019;Italy;8288881
01/06/2019;Cyprus;346791
01/06/2019;Latvia;219068
01/06/2019;Lithuania;202073
01/06/2019;Luxembourg;115113
01/06/2019;Hungary;714426
01/06/2019;Malta;180154
01/06/2019;Netherlands;2042461
01/06/2019;Austria;2614849
01/06/2019;Poland;725767
01/06/2019;Portugal;1655886
01/06/2019;Romania;286135
01/06/2019;Slovenia;531719
01/06/2019;Slovakia;235853
01/06/2019;Finland;333706
01/06/2019;Sweden;956778
01/06/2019;United Kingdom;3174257
01/06/2019;Iceland;509689
01/06/2019;Liechtenstein;10393
01/06/2019;Norway;947626
01/06/2019;Montenegro;145917
01/06/2019;North Macedonia;89237
01/06/2019;Serbia;183896
01/06/2019;Kosovo;11698
01/06/2019;Turkey;5969981
01/06/2019;Japan;2880041
01/07/2019;Belgium;965397
01/07/2019;Bulgaria;812673
01/07/2019;Czechia;1164928
01/07/2019;Denmark;546407
01/07/2019;Germany;4832055
01/07/2019;Estonia;328159
01/07/2019;Greece;3894811
01/07/2019;Spain;8097550
01/07/2019;France;7981589
01/07/2019;Croatia;4031709
01/07/2019;Italy;9254845
01/07/2019;Cyprus;366892
01/07/2019;Latvia;269702
01/07/2019;Lithuania;254720
01/07/2019;Luxembourg;124248
01/07/2019;Hungary;859506
01/07/2019;Malta;183987
01/07/2019;Netherlands;2189699
01/07/2019;Austria;3403779
01/07/2019;Poland;880451
01/07/2019;Portugal;1796871
01/07/2019;Romania;301092
01/07/2019;Slovenia;754155
01/07/2019;Slovakia;286481
01/07/2019;Finland;396315
01/07/2019;Sweden;1604453
01/07/2019;United Kingdom;3453196
01/07/2019;Iceland;769544
01/07/2019;Liechtenstein;13095
01/07/2019;Norway;1408905
01/07/2019;Montenegro;176346
01/07/2019;North Macedonia;96835
01/07/2019;Serbia;215660
01/07/2019;Kosovo;16535
01/07/2019;Turkey;7413887
01/07/2019;Japan;2991189
01/08/2019;Belgium;977639
01/08/2019;Bulgaria;901684
01/08/2019;Czechia;1192978
01/08/2019;Denmark;432719
01/08/2019;Germany;4472295
01/08/2019;Estonia;286199
01/08/2019;Greece;4098079
01/08/2019;Spain;8428201
01/08/2019;France;7912018
01/08/2019;Croatia;4363714
01/08/2019;Italy;8550183
01/08/2019;Cyprus;367799
01/08/2019;Latvia;263890
01/08/2019;Lithuania;264056
01/08/2019;Luxembourg;124206
01/08/2019;Hungary;928918
01/08/2019;Malta;186880
01/08/2019;Netherlands;2170471
01/08/2019;Austria;3538719
01/08/2019;Poland;880577
01/08/2019;Portugal;2019356
01/08/2019;Romania;312306
01/08/2019;Slovenia;877186
01/08/2019;Slovakia;313582
01/08/2019;Finland;388413
01/08/2019;Sweden;1177376
01/08/2019;United Kingdom;3615778
01/08/2019;Iceland;793254
01/08/2019;Liechtenstein;14213
01/08/2019;Norway;1223522
01/08/2019;Montenegro;204462
01/08/2019;North Macedonia;99139
01/08/2019;Serbia;237664
01/08/2019;Kosovo;17314
01/08/2019;Turkey;7016330
01/08/2019;Japan;2520134
01/09/2019;Belgium;793848
01/09/2019;Bulgaria;469515
01/09/2019;Czechia;973314
01/09/2019;Denmark;241171
01/09/2019;Germany;3622664
01/09/2019;Estonia;190462
01/09/2019;Greece;3187296
01/09/2019;Spain;7513357
01/09/2019;France;6563345
01/09/2019;Croatia;1994400
01/09/2019;Italy;7865931
01/09/2019;Cyprus;337988
01/09/2019;Latvia;171844
01/09/2019;Lithuania;188176
01/09/2019;Luxembourg;94219
01/09/2019;Hungary;530533
01/09/2019;Malta;175249
01/09/2019;Netherlands;1699752
01/09/2019;Austria;2375960
01/09/2019;Poland;723657
01/09/2019;Portugal;1846817
01/09/2019;Romania;287763
01/09/2019;Slovenia;499582
01/09/2019;Slovakia;230715
01/09/2019;Finland;252744
01/09/2019;Sweden;525898
01/09/2019;United Kingdom;2675700
01/09/2019;Iceland;503111
01/09/2019;Liechtenstein;10475
01/09/2019;Norway;433933
01/09/2019;Montenegro;153104
01/09/2019;North Macedonia;94743
01/09/2019;Serbia;195051
01/09/2019;Kosovo;13020
01/09/2019;Turkey;5982789
01/09/2019;Japan;2272883
01/10/2019;Belgium;849216
01/10/2019;Bulgaria;165792
01/10/2019;Czechia;987045
01/10/2019;Denmark;231449
01/10/2019;Germany;3364177
01/10/2019;Estonia;172678
01/10/2019;Greece;1560043
01/10/2019;Spain;6382043
01/10/2019;France;3380868
01/10/2019;Croatia;894480
01/10/2019;Italy;5781203
01/10/2019;Cyprus;303138
01/10/2019;Latvia;144907
01/10/2019;Lithuania;146437
01/10/2019;Luxembourg;83234
01/10/2019;Hungary;552245
01/10/2019;Malta;181749
01/10/2019;Netherlands;1843475
01/10/2019;Austria;1847512
01/10/2019;Poland;660998
01/10/2019;Portugal;1605443
01/10/2019;Romania;238792
01/10/2019;Slovenia;332674
01/10/2019;Slovakia;202108
01/10/2019;Finland;209669
01/10/2019;Sweden;418726
01/10/2019;United Kingdom;2675700
01/10/2019;Iceland;306117
01/10/2019;Liechtenstein;8218
01/10/2019;Norway;236703
01/10/2019;Montenegro;106352
01/10/2019;North Macedonia;68831
01/10/2019;Serbia;174456
01/10/2019;Kosovo;12231
01/10/2019;Turkey;4818001
01/10/2019;Japan;2496568
01/11/2019;Belgium;682103
01/11/2019;Bulgaria;107657
01/11/2019;Czechia;756016
01/11/2019;Denmark;174175
01/11/2019;Germany;2710555
01/11/2019;Estonia;145987
01/11/2019;Greece;324851
01/11/2019;Spain;3648858
01/11/2019;France;3027719
01/11/2019;Croatia;256128
01/11/2019;Italy;2493455
01/11/2019;Cyprus;122244
01/11/2019;Latvia;119345
01/11/2019;Lithuania;127359
01/11/2019;Luxembourg;64432
01/11/2019;Hungary;476624
01/11/2019;Malta;132192
01/11/2019;Netherlands;1421861
01/11/2019;Austria;1176747
01/11/2019;Poland;532689
01/11/2019;Portugal;927879
01/11/2019;Romania;176455
01/11/2019;Slovenia;191439
01/11/2019;Slovakia;156421
01/11/2019;Finland;207208
01/11/2019;Sweden;345880
01/11/2019;United Kingdom;1998641
01/11/2019;Iceland;247037
01/11/2019;Liechtenstein;5037
01/11/2019;Norway;159026
01/11/2019;Montenegro;48249
01/11/2019;North Macedonia;43096
01/11/2019;Serbia;129456
01/11/2019;Kosovo;12477
01/11/2019;Turkey;2693151
01/11/2019;Japan;2441274
01/12/2019;Belgium;715480
01/12/2019;Bulgaria;125391
01/12/2019;Czechia;862462
01/12/2019;Denmark;164958
01/12/2019;Germany;2873681
01/12/2019;Estonia;159375
01/12/2019;Greece;203422
01/12/2019;Spain;3171816
01/12/2019;France;2615440
01/12/2019;Croatia;239390
01/12/2019;Italy;2397524
01/12/2019;Cyprus;86024
01/12/2019;Latvia;126322
01/12/2019;Lithuania;123906
01/12/2019;Luxembourg;57709
01/12/2019;Hungary;440099
01/12/2019;Malta;112087
01/12/2019;Netherlands;1184868
01/12/2019;Austria;2370755
01/12/2019;Poland;517820
01/12/2019;Portugal;778782
01/12/2019;Romania;148655
01/12/2019;Slovenia;217036
01/12/2019;Slovakia;157629
01/12/2019;Finland;338877
01/12/2019;Sweden;323431
01/12/2019;United Kingdom;1931486
01/12/2019;Iceland;213563
01/12/2019;Liechtenstein;6187
01/12/2019;Norway;200587
01/12/2019;Montenegro;32907
01/12/2019;North Macedonia;40627
01/12/2019;Serbia;138864
01/12/2019;Kosovo;11484
01/12/2019;Turkey;2671511
01/12/2019;Japan;2526387
